Event,hive_identity_id,hive_age,Longitude,Latitude,Months,Crop diversity,Distance from roads,Distance from water,DEM,Slope,NDVI,Average temperature,Maximum temperature,Minimum temperature,Precipitation,Sugar-feeding frequency,Pollen-feeding frequency,Hive grading,Oxalic-treatment frequency,Miticide-treatment frequency,Formic-treatment frequency,Movement,Relocation frequency
0,123101,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123101,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123102,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123102,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123102,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123103,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123103,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123103,169,-122.434422,38.496792,7,22,0,0.0,65.07452,4.441686,0.231635,21.96095,31.10492,12.76649,0.025866,1,0,3,0,1,0,1,1
0,123100,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123100,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123100,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123095,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123095,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123095,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123098,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123098,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123098,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123106,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123106,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123106,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123107,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123107,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123107,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123104,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123104,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123104,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123105,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123105,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123105,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
1,123105,295,-121.116903,36.554155,11,1,0,0.0,516.2183,15.34503,0.040573,12.6303,21.12245,4.143341,30.12944,0,0,2,0,0,0,0,0
0,123131,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123131,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123131,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123144,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123144,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123144,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123146,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123146,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123146,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123147,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123147,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123147,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
1,123147,246,-121.116903,36.554155,9,1,0,0.0,516.2183,15.34503,0.156237,18.5728,27.34706,9.79789,2.883691,0,0,2,0,0,0,0,0
0,123141,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123141,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123141,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
1,123141,246,-121.116903,36.554155,9,1,0,0.0,516.2183,15.34503,0.156237,18.5728,27.34706,9.79789,2.883691,0,0,2,0,0,0,0,0
0,123142,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123142,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123142,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123148,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123148,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123148,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123150,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123150,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123150,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123151,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123151,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123151,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123152,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123152,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123152,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123149,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123149,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
1,123149,210,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
